content_id,content_type,is_indie
C004507,podcast_episode,False
C017777,song,False
C026499,song,True
C001308,song,False
C019370,album,False
C011241,podcast_episode,False
C021560,song,False
C014695,podcast_episode,True
C021037,song,True
C007102,song,False
C027304,song,False
C005916,song,False
C021647,album,False
C030219,song,True
C008310,song,True
C028865,podcast_episode,False
C017600,song,False
C029243,song,False
C011357,song,False
C024456,song,False
C008430,podcast_episode,False
C015935,song,True
C033507,song,False
C012931,podcast_episode,False
C033335,album,False
C017224,album,False
C021601,podcast_episode,False
C013752,song,False
C014513,song,False
C008181,album,False
C001063,song,False
C018090,song,True
C009135,audiobook,False
C007885,podcast_episode,False
C031227,song,False
C001271,song,True
C014750,song,False
C014527,song,False
C015267,album,False
C024979,podcast_episode,False
C000956,podcast_episode,True
C031746,album,False
C030244,podcast_episode,False
C025134,song,True
C008530,podcast_episode,False
C020639,song,False
C002520,song,True
C007111,song,False
C025928,audiobook,False
C018814,podcast_episode,True
C001885,song,True
C023125,song,False
C017377,audiobook,True
C023708,song,True
C016453,song,False
C011445,podcast_episode,False
C024968,song,False
C004540,podcast_episode,False
C014106,podcast_episode,True
C032543,podcast_episode,False
C022787,album,False
C031916,song,True
C018054,song,True
C021330,podcast_episode,False
C001658,audiobook,False
C013084,song,False
C019883,podcast_episode,True
C019625,song,False
C011635,song,False
C012446,podcast_episode,False
C011939,podcast_episode,True
C008948,album,False
C033793,song,False
C023536,song,False
C017402,song,False
C027053,song,True
C026247,song,False
C017393,podcast_episode,False
C013371,song,True
C016032,audiobook,False
C001596,podcast_episode,False
C021561,podcast_episode,True
C008814,song,True
C001526,podcast_episode,False
C008613,song,False
C001745,song,True
C022934,song,True
C001516,song,True
C032816,podcast_episode,False
C019456,podcast_episode,False
C005702,podcast_episode,True
C007350,song,False
C005731,song,False
C002458,song,False
C017676,song,True
C000834,podcast_episode,False
C030876,song,False
C001474,album,True
C021320,song,False
C023606,podcast_episode,False
C030774,podcast_episode,False
C030734,album,True
C029163,podcast_episode,False
C018382,song,False
C018607,podcast_episode,False
C023183,song,False
C001545,song,False
C021612,song,False
C005256,song,True
C022024,podcast_episode,False
C004067,song,False
C031629,song,True
C004098,song,False
C001625,podcast_episode,False
C019184,song,False
C010392,song,True
C027936,song,False
C033333,song,False
C019663,song,False
C033436,song,False
C025463,song,False
C029142,song,False
C001569,album,False
C005987,song,False
C015374,song,True
C025059,podcast_episode,False
C016563,podcast_episode,False
C016162,song,False
C009381,song,False
C007584,song,False
C002408,album,False
C005885,song,True
C028068,song,False
C021930,song,False
C023423,song,False
C032474,podcast_episode,False
C016597,song,False
C027766,album,True
C015748,podcast_episode,False
C000548,song,False
C014369,podcast_episode,True
C023319,song,False
C019119,song,False
C029712,song,False
C033551,song,False
C020606,song,False
C015481,podcast_episode,False
C003205,song,True
C033202,podcast_episode,True
C024833,song,False
C011014,song,False
C027084,song,True
C027111,song,False
C017957,podcast_episode,False
C032415,podcast_episode,True
C021791,podcast_episode,False
C004539,song,True
C030945,album,True
C017530,podcast_episode,True
C010207,podcast_episode,False
C005643,album,False
C009342,song,True
C029284,song,True
C009985,song,False
C014824,podcast_episode,True
C027026,podcast_episode,False
C033238,song,False
C009521,song,False
C023460,podcast_episode,False
C000880,song,False
C025930,podcast_episode,True
C000798,song,False
C029922,podcast_episode,True
C031391,song,True
C004807,song,True
C000856,podcast_episode,False
C022210,song,False
C029697,album,True
C030148,song,True
C002957,podcast_episode,True
C028755,audiobook,False
C023812,album,False
C017644,song,False
C017179,podcast_episode,False
C006474,song,False
C025557,song,True
C014647,song,False
C001726,song,False
C020143,song,False
C030109,song,True
C010922,podcast_episode,False
C000338,song,False
C016712,song,False
C006413,song,False
C005086,podcast_episode,False
C029741,song,False
C013824,song,False
C016979,album,True
C004246,album,False
C002593,podcast_episode,True
C004211,song,False
C027039,song,False
C015275,podcast_episode,True
C001798,podcast_episode,False
C006621,song,True
C013468,audiobook,True
C027212,song,False
C001567,song,False
C004546,song,False
C005448,song,True
C001697,song,False
C005947,song,True
C013262,podcast_episode,False
C027572,song,False
C026022,song,False
C023282,song,False
C001265,podcast_episode,False
C021064,song,False
C015930,song,False
C004912,song,True
C008145,song,False
C019554,podcast_episode,True
C013529,album,False
C002815,song,False
C014626,podcast_episode,False
C026234,song,False
C011663,song,False
C017753,song,True
C014941,song,False
C027036,podcast_episode,False
C026154,podcast_episode,False
C027940,podcast_episode,False
C030242,song,True
C025297,song,False
C004099,album,True
C007019,song,False
C027466,song,False
C022261,podcast_episode,False
C006013,podcast_episode,False
C006264,podcast_episode,False
C018636,podcast_episode,True
C025020,podcast_episode,False
C018836,song,False
C030982,album,True
C004429,song,True
C025009,podcast_episode,False
C010352,album,False
C008438,song,False
C030336,podcast_episode,False
C016227,album,False
C013668,song,False
C028454,song,False
C006671,podcast_episode,False
C021689,song,False
C002208,song,False
C007483,album,True
C016129,podcast_episode,False
C011034,podcast_episode,False
C031489,song,False
C012426,song,True
C029264,song,True
C013233,podcast_episode,True
C015786,audiobook,False
C001705,podcast_episode,False
C017303,podcast_episode,False
C006537,song,True
C024607,song,True
C016371,podcast_episode,True
C020603,podcast_episode,True
C005597,song,False
C008115,song,True
C018463,song,False
C019100,podcast_episode,False
C010013,song,False
C024999,podcast_episode,False
C015907,song,False
C004321,album,False
C016784,podcast_episode,False
C023485,audiobook,True
C007755,album,True
C023214,audiobook,False
C001312,album,False
C012123,song,False
C006591,song,True
C001468,song,False
C029095,song,True
C032746,audiobook,False
C030372,song,True
C025617,podcast_episode,True
C020339,podcast_episode,False
C010145,song,True
C009503,podcast_episode,False
C024407,song,False
C009006,song,True
C025841,podcast_episode,False
C015390,song,True
C023994,song,False
C011315,podcast_episode,False
C000763,song,False
C009421,podcast_episode,True
C011811,song,False
C023056,podcast_episode,False
C009390,audiobook,False
C012923,podcast_episode,True
C002281,song,False
C021130,podcast_episode,True
C011214,podcast_episode,False
C028033,song,False
C015539,song,True
C024173,song,False
C003577,album,False
C005790,song,True
C012260,song,False
C003593,song,True
C005495,podcast_episode,True
C008779,song,False
C014239,song,False
C004188,album,False
C018149,podcast_episode,False
C001901,song,True
C008061,song,True
C011943,song,True
C015367,album,False
C027419,podcast_episode,False
C017486,song,True
C027764,podcast_episode,False
C022446,podcast_episode,True
C001924,podcast_episode,True
C030610,song,False
C012716,podcast_episode,True
C027158,song,False
C028878,podcast_episode,True
C026504,album,False
C031777,song,False
C009541,song,False
C016400,album,True
C012494,song,False
C016297,album,True
C017260,song,True
C005647,podcast_episode,False
C017871,podcast_episode,True
C030720,podcast_episode,False
C032373,song,True
C032592,song,False
C016084,album,False
C007493,song,False
C023322,song,False
C016788,audiobook,True
C022878,song,False
C023843,podcast_episode,False
C029987,song,True
C026725,podcast_episode,True
C026514,podcast_episode,False
C001367,album,True
C030823,song,True
C004955,song,False
C023346,song,False
C001666,song,False
C010466,song,True
C001422,song,False
C029751,podcast_episode,True
C000280,song,False
C013503,podcast_episode,False
C022558,audiobook,True
C018555,song,True
C009156,song,True
C032223,album,True
C023544,song,False
C027104,song,True
C009538,podcast_episode,False
C025251,song,False
C018331,song,True
C021434,album,True
C017475,song,False
C000789,podcast_episode,True
C005123,song,False
C014634,song,False
C003327,song,False
C010979,song,False
C002947,song,False
C016568,song,False
C032464,album,False
C011303,song,False
C006422,song,True
C007128,podcast_episode,False
C000690,album,True
C003491,podcast_episode,False
C028852,podcast_episode,True
C027876,album,False
C005846,song,False
C017760,song,True
C031510,album,False
C018268,song,False
C008111,podcast_episode,False
C002646,song,False
C009070,album,False
C018578,podcast_episode,False
C022771,song,False
C018261,podcast_episode,True
C029842,podcast_episode,False
C007156,song,False
C003932,song,True
C024329,podcast_episode,False
C011344,album,False
C007244,song,False
C031093,audiobook,True
C011568,podcast_episode,False
C024604,podcast_episode,False
C001413,song,False
C004403,song,False
C007489,song,False
C026612,song,False
C033851,podcast_episode,False
C003415,song,False
C006654,song,True
C024038,album,False
C019212,song,False
C026500,podcast_episode,True
C006530,song,False
C006174,song,False
C012293,podcast_episode,False
C028832,song,False
C011024,song,False
C025257,song,False
C013852,song,False
C021511,podcast_episode,False
C033130,podcast_episode,True
C006961,song,False
C000953,song,True
C003813,song,True
C022592,song,False
C005350,song,True
C032362,song,False
C001125,podcast_episode,False
C002769,podcast_episode,True
C009911,song,False
C022541,song,True
C010483,song,False
C017168,song,False
C006991,song,False
C016508,song,False
C008606,song,False
C031412,podcast_episode,False
C006691,song,False
C029984,song,False
C010720,podcast_episode,True
C033191,song,False
C019712,song,False
C014798,song,False
C015576,podcast_episode,True
C018019,song,False
C030803,album,True
C001529,podcast_episode,False
C021701,song,False
C018685,song,False
C005686,album,False
C028029,song,False
C020668,podcast_episode,False
C015711,song,False
C029592,podcast_episode,False
C030526,podcast_episode,True
C030738,podcast_episode,False
C017485,song,False
C001967,song,False
C005651,podcast_episode,False
C005260,song,False
C018111,song,False
C004609,song,False
C013966,podcast_episode,False
C003649,song,True
C030482,album,False
C003378,song,False
