"play_id","session_id","content_id","skipped","seconds_played"
"P00000001","SS00000001","C028194","",793
"P00000002","SS00000001","C031262","",883
"P00000003","SS00000001","C012802",1,14
"P00000004","SS00000001","C019268","",158
"P00000005","SS00000002","C025936","",218
"P00000006","SS00000002","C021973","",659
"P00000007","SS00000003","C005635",1,17
"P00000008","SS00000003","C002185","",450
"P00000009","SS00000003","C024633","",186
"P00000010","SS00000004","C014090","",187
"P00000011","SS00000004","C029704",1,24
"P00000012","SS00000004","C012556","",220
"P00000013","SS00000004","C033017",1,41
"P00000014","SS00000005","C022008","",176
"P00000015","SS00000005","C018245","",147
"P00000016","SS00000005","C010875","",140
"P00000017","SS00000006","C017314","",140
"P00000018","SS00000006","C025833",1,41
"P00000019","SS00000006","C009472","",357
"P00000020","SS00000006","C026217",1,13
"P00000021","SS00000007","C002110","",1286
"P00000022","SS00000007","C033685","",216
"P00000023","SS00000007","C025580","",120
"P00000024","SS00000007","C025074",1,6
"P00000025","SS00000007","C009637","",236
"P00000026","SS00000008","C022127",1,44
"P00000027","SS00000008","C021771","",187
"P00000028","SS00000009","C005804","",225
"P00000029","SS00000009","C027496","",1786
"P00000030","SS00000010","C033538","",182
"P00000031","SS00000010","C009506",1,36
"P00000032","SS00000011","C019012",1,43
"P00000033","SS00000011","C022482",1,14
"P00000034","SS00000011","C022160","",169
"P00000035","SS00000012","C008853","",202
"P00000036","SS00000012","C002613","",241
"P00000037","SS00000012","C023833",1,16
"P00000038","SS00000013","C025948",1,8
"P00000039","SS00000013","C020805","",1236
"P00000040","SS00000014","C018909",1,29
"P00000041","SS00000014","C002233","",110
"P00000042","SS00000014","C014820","",2083
"P00000043","SS00000015","C022615","",108
"P00000044","SS00000015","C023624",1,17
"P00000045","SS00000015","C002870","",152
"P00000046","SS00000016","C031538","",184
"P00000047","SS00000016","C003364","",1136
"P00000048","SS00000017","C013701","",862
"P00000049","SS00000017","C015463","",360
"P00000050","SS00000017","C018356","",125
"P00000051","SS00000018","C028342","",216
"P00000052","SS00000018","C005733","",186
"P00000053","SS00000018","C024189","",104
"P00000054","SS00000019","C027931","",1435
"P00000055","SS00000019","C031227","",224
"P00000056","SS00000020","C025328",1,26
"P00000057","SS00000020","C006718",1,43
"P00000058","SS00000021","C009982","",1317
"P00000059","SS00000021","C023530","",1979
"P00000060","SS00000021","C032617","",1386
"P00000061","SS00000021","C001472","",218
"P00000062","SS00000021","C012205","",717
"P00000063","SS00000022","C011324","",285
"P00000064","SS00000022","C006121","",158
"P00000065","SS00000022","C019955","",158
"P00000066","SS00000022","C014105",1,41
"P00000067","SS00000023","C032691","",803
"P00000068","SS00000023","C003833","",679
"P00000069","SS00000024","C009921","",149
"P00000070","SS00000024","C031349","",108
"P00000071","SS00000025","C026394",1,24
"P00000072","SS00000025","C017900","",193
"P00000073","SS00000025","C014106",1,14
"P00000074","SS00000026","C006384","",160
"P00000075","SS00000026","C033209","",406
"P00000076","SS00000027","C027676","",125
"P00000077","SS00000027","C024542","",175
"P00000078","SS00000027","C031604",1,22
"P00000079","SS00000028","C006198",1,10
"P00000080","SS00000028","C023420","",482
"P00000081","SS00000028","C016925",1,38
"P00000082","SS00000029","C002112","",198
"P00000083","SS00000029","C022948","",225
"P00000084","SS00000029","C021684","",1570
"P00000085","SS00000030","C008949","",150
"P00000086","SS00000030","C027498","",128
